,Released:,2009,2003,2013,2014,Unclear,2009,Unclear,2009,1993,Unclear,2012,2005,2010,Before 2005,1988,2012,2004,2013,Unclear,Unclear,1998,2008,2003,2002,2004,2006,2011,2003,2000,2011
,Updated:,2014,2014,2014,2014,2013,2013,1999,2012,2011,2011,2012,2007,2013,2013,2014,2012,2014,2013,2013,2013,2013,2013,2014,2011,2014,2014,2013,2013,2013,2013
,Status (alive (changes within past 18 months) dead (last changes older than 18 months)):,Alive,Alive,Alive,Alive,Alive,Alive,Dead,Dead,Dead,Dead,Dead,Dead,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Dead,Alive,Alive,Alive,Alive,Alive,Alive
,License:,GPL-2 | GPL-3,GPL-2 | GPL-3 ,GPL-3,GPL (¡Ý 3.0),Copyrighted,Copyrighted,GNU public,Unclear,GNU GPL v3,Unclear,Unclear,Unclear,General Public License,Unclear,public license,GNU GPL v3,GPL license,Copyrighted,GNU public license,Unclear,Copyrighted,copyrighted,MIT/X,Unclear,GNU General Public,Freeware,GPLv2,Unclear,Unclear,Copyrighted
,Platforms:,"Windows, Linux, Mac OS","Windows, Linux, Mac OS","Windows, Linux, Mac OS","Windows, Linux, Mac OS","Windows, Linux","Windows, Linux, Mac OS","Windows, Linux, Mac OS",Linux,"Windows, Linux, Mac OS","Windows, Linux, Mac OS","Windows, Linux, Mac OS","Windows, Linux, Mac OS","Windows, Linux, Mac OS","Windows, Linux, Mac OS",Linux,Linux,Linux,Linux,"Windows, Linux, Mac OS",Linux,Linux,Linux,Linux,Linux,"Windows, Linux, Mac OS","Windows, Linux, Mac OS",Linux,Linux,Linux,Linux
,"Category (concept, private or public):",Public,Public,Public,Public,Public ,Public ,Public ,Public ,Public,Public,Public ,Public ,Public,Public,Public,Public ,Public,Public,Public,Public ,Public,Public ,Public ,Public,Public,Public,Public ,Public ,Public,Public
,Dev. Model:,Open Source,Open source,Open source,Open source,Open source,Open source,Open source,Open source,Open source,Open Source,Open source,Open Source,Open source,Open source,Open Source,Open source,Open Source,Open Source,Open Source,Open source,Open Source,Open source,Open source,Open Source,Open Source,Open Source,Open source,Open source,Open Source,Open Source
,Publications using the software:,Unclear,Unclear,Unclear,http://cran.r-project.org/web/packages/OceanView/vignettes/Northsea.pdf,Unclear,http://www.teos-10.org/publications.htm,Unclear,Unclear,http://www.maths.lth.se/matstat/wafo/publications/#Papers_in_WAFO,http://pubs.usgs.gov/of/2000/of00-458/,"http://scholar.google.ca/scholar?cites=11302394831771517994&as_sdt=2005&sciodt=0,5&hl=en",Unclear,Unclear,Unclear,http://www.nemo-ocean.eu/superbib/en/one/main.php,http://code.google.com/p/gold-omod/wiki/Publications,Unclear,http://mpas-dev.github.io/,http://www.gotm.net/index.php?go=information&page=publications,http://mitgcm.org/publications/,Unclear,http://adcirc.org/home/documentation/adcirc-related-publications/,http://www.myroms.org/index.php?page=papers,http://www.mi.uib.no/BOM/publications/,http://www.mohid.com/Publications.asp,Unclear,http://sourceforge.net/p/suntans/wiki/Home/,Unclear,http://hycom.org/publications,http://fvcom.smast.umassd.edu/fvcom-publications/
,Publications about the software:,http://cran.r-project.org/web/packages/oce/vignettes/oce.pdf,Unclear,Unclear,http://cran.r-project.org/web/packages/OceanView/vignettes/OceanView.pdf,Unclear,http://www.teos-10.org/publications.htm,Unclear,Unclear,http://www.maths.lth.se/matstat/wafo/publications/#Papers_in_WAFO,Unclear,No,Unclear,Unclear,Unclear,http://www.nemo-ocean.eu/About-NEMO/Reference-manuals,http://code.google.com/p/gold-omod/wiki/Publications,http://mdl-mom5.herokuapp.com/web/docs/project/MOM4_guide.pdf,Unclear,http://www.gotm.net/index.php?go=information&page=publications,http://mitgcm.org/publications/,http://oceans11.lanl.gov/drupal/CICE/References-5.0http://scholar.google.com/citations?view_op=view_citation&hl=en&user=kriJjHcAAAAJ&citation_for_view=kriJjHcAAAAJ:2osOgNQ5qMEC,http://adcirc.org/home/documentation/adcirc-related-publications/,http://www.myroms.org/index.php?page=papers,http://www.mi.uib.no/BOM/publications/,http://www.mohid.com/Publications.asp,Unclear,http://sourceforge.net/p/suntans/wiki/Home/,Unclear,http://hycom.org/publications,http://fvcom.smast.umassd.edu/fvcom-publications/
,Is source code available:,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Partial,Yes,Yes,Yes,Yes
,Programming language(s):,R,R,R,R,Matlab,Matlab,Matlab,"Fortran, Matlab",Matlab,Matlab,Matlab,Matlab,Matlab,Matlab,Fortran,Fortran,Fortran,Fortran,Fortran,Fortran,Fortran,Fortran,Fortran,Fortran,Fortran,C++/Java,C,Fortran,Fortran,Fortran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Getting to Know the Software Package (All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Create a virtual machine. Make shell script to provision box.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SOFTWARE ENGINEERING QUALITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Installability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Install the software on the virtual machine, record all steps and answers the following questions:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Are there installation instructions?,Yes,Yes(Cran),Yes(Cran),Yes(Cran),Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but not clear",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but 3 different version, one on developer guide, one on instruction manual and one within the pachage",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Are the installation instructions linear? (Vnode was not linear.),Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,"No, see above and didn't mention software need to be installed.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3,"Is there something in place to automate the installation (makefile, script, installer, etc.)?",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4,"Is there a means given to validate the installation, such as a standard suite of test cases?",No,No,No,No,No,Yes,No,No,No,No,Yes,No,No ,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No
5,How many steps were involved in the installation?,2,2,2,2,2,5,7,17 minimum,5,2,2,2,8,2,7,22,5,7,6,6,"Unclear, the install instruction is disorganized",8 from the instruction manual,9,3 minimum,1,1,7,8,about 22,10 minimum
6,How many software packages (libraries) need to be installed?,4,1,5,4,1,1,1,9,0,1,0,1,4,1,6,1,3,7,9,1,0,Not mentioned,7,1,0,1,2,2,1,Unclear
7,"Run uninstall, if available.  Were any obvious problems caused?",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unclear,Unclear,Unclear,Unclear,Unclear,No,Unclear,Unclear,Unclear,No,No,No,No,No,Unclear,Unclear
,Overall impression (/10):,8,9,9,9,9,10,9,8,9,9,10,6,8,8,9,5,9,8,8,10,6,5,7,9,9,8,9,10,7,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Correctness and Verifiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Are standard libraries (in which the community has confidence) used?,"Yes(Cran, details are on the web page)",No,"Yes(R (¡Ý 3.0.2), graphics, methods, ncdf4, proj4)","Yes(plot3D, plot3Drgl, R (¡Ý 2.10))",Unclear,Yes(IAPWS-09),Unclear,Unclear,Unclear,Yes,Unclear,Unclear,"Yes(M_Map, seawater)",Unclear,Yes(OASIS coupler and IOIPSL library),Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,"Yes,MOM",Unclear,Yes (GOTM)
2,Any reference to the requirements specifications of the program? (How do you judge correctness without a spec?),Yes,No,http://cran.r-project.org/web/packages/ocean/ocean.pdf,No,No,Yes,No,No,http://www.maths.lth.se/matstat/wafo/documentation/wafotutor25.pdf,http://pubs.usgs.gov/of/2000/of00-458/pdf/ofr200-458toolboxmanualv4_508.pdf,No,No,No,No,No,No,Yes,No,http://www.gotm.net/pages/documentation/manual/stable/pdf/a4.pdf,http://mitgcm.org/public/r2_manual/latest/online_documents/manual.pdf,No,http://www.unc.edu/ims/adcirc/adcirc_theory_2004_12_08.pdf,https://www.myroms.org/wiki/index.php/Documentation_Portal,No,No,No,Guide,No,"Yes, http://hycom.org/attachments/063_metzger1-2009.pdf",No
3,"What evidence is presented to build confidence (literate programming, automated testing, symbolic execution, model checking, assertions used in the code ¡­)?  Please list",Manual http://cran.r-project.org/web/packages/oce/oce.pdf,http://cran.r-project.org/web/packages/seacarb/seacarb.pdf,http://cran.r-project.org/web/packages/ocean/ocean.pdf,http://cran.r-project.org/web/packages/OceanView/OceanView.pdf,No,http://www.teos-10.org/pubs/Getting_Started.pdf,No,No,http://www.maths.lth.se/matstat/wafo/documentation/wafotutor25.pdf,http://pubs.usgs.gov/of/2000/of00-458/pdf/ofr200-458toolboxmanualv4_508.pdf,http://www.jmlilly.net/doc/jlab/Contents.html,No,No,No,NEMO Book,No,Elements of MOM 5,API,http://www.gotm.net/pages/documentation/manual/stable/pdf/a4.pdf,http://mitgcm.org/public/r2_manual/latest/online_documents/manual.pdf,Manual http://oceans11.lanl.gov/trac/CICE/attachment/wiki/WikiStart/cicedoc.pdf,No,https://www.myroms.org/wiki/index.php/Documentation_Portal,Manual http://www.mi.uib.no/BOM/ug/,http://www.actionmodulers.pt/Biblioteca/Uploads/Downloads/MOHID_Studio_-_User_Guide.pdf && http://maretec.mohid.com/PublicData/products/Manuals/MOHIDJET.pdf,API,Guide,http://climate.uvic.ca/model/2.8/description.html,http://hycom.org/attachments/063_hycom_users_manual.pdf,http://fvcom.smast.umassd.edu/category/fvcom/1model-validation/
4,"If there is a standard example given, does the output match the expected output?",Yes,No output given,No output given,Yes,Unclear,Yes,Yes,Unclear,Yes,"Yes,but no clear with example data","Yes, but no output given","Yes, but lack of input data","Yes, better give more detailed examples",Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,No,Unclear,Unclear,No standard example,Yes,General example,Unclear,No,Unclear,Unclear
,Overall impression (/10):,10,4,6,8,2,10,4,2,8,8,5,4,5,5,7,2,7,7,7,6,4,4,8,4,7,5,7,5,6,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Surface) Reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Did the software ""break"" during installation?  If yes, please provide some brief details.",No,No,No,No,"Yes,do not support R2010b on Win64, Undefined function or variable 'busy'.",No,No,No,No,No,No,No,No,No,"Yes,no detail info about NetCDF is given,""-m bad option""","Yes, can't find Gold.tar,","Yes,no detail info about NetCDF is given","Yes,/usr/bin/ld: cannot find -lpnetcdf","Yes, make error, dead link for installing library",No,"Yes, hard coded directories, gfortran error during runing script","Yes,compilation aborted for ../KDTREE2/kdtree2.F (code 1) make[1]: *** [odir4/kdtree2.o] Error 1 make[1]: Leaving directory `/home/michael/Desktop/v50_99_14/work'make: ***[padcirc] Error 2","Yes, compilation aborted for distribute.f90 (code 1) make: *** [/home/michael/ocean/repository/trunk/ROMS/Bin/Build/distribute.o]",No,No,No,No,No,"Yes,Make failed","Yes, Linux_x86_64_cc_ifort Error: this configuration is not exist"
2,"Did the software ""break"" during the initial tutorial testing?  If yes, please provide some brief details.",No,No,"Yes,Error: could not find function ""get.nodes""",No,Unclear,No,No,"Not applicable, no matlab under linux, cannot generate input file",No,"No, but unclear how to use example data",No,"Not applicable, lack of input data",No,No,Unclear,Unclear,Unclear,Unclear,Unclear,"Yes,./mitgcmuv: error while loading shared libraries: libnetcdf.so.7: cannot open shared object file: No such file or directory",Unclear,Unclear,Unclear,Not applicable,No,No,No,Not applicable,Unclear,Unclear
,Overall impression (/10):,10,10,5,10,5,10,10,7,10,8,10,7,10,10,5,5,5,5,5,6,5,5,5,7,10,10,10,7,5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Surface) Robustness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Does the software handle garbage (as opposed to bad or malicious) input reasonably?  (a reasonable response can include an appropriate error message),Yes,"No,Negative Salinity",Yes,Yes,Unclear,No,Yes,Unclear,Yes,Unclear,Yes,Yes,"Yes, evidence showed in remarks",No,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,"No, when opening wrong files doesn't give an error",Unclear,Unclear,Unclear,Unclear
2,"Can the software gracefully handle a change of the format of text input files where the end of line follows a different convention?  For instance, if all new lines are replaced with new lines and carriage returns, will the software handle this gracefully?",Yes,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
,Overall impression (/10):,10,5,10,10,5,5,10,5,10,6,10,10,10,5,5,5,5,5,5,5,5,5,5,5,10,7,5,5,5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Surface) Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Evidence that performance was considered? (for instance does the makefile (or other source) show evidence of a profiler),Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Yes,Yes,Yes
,Overall impression (/10):,5,5,5,5,10,5,5,10,5,5,5,5,5,5,10,5,10,10,10,10,10,10,10,10,5,5,5,10,10,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Surface) Usability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Use the program to do something simple, record all steps and answer the following questions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Is there a getting started tutorial?,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
2,Is there a standard example that is explained?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but not detailed enough",Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Only general example,Yes,No,Yes,Yes
3,Is there a user manual?,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4,"Does the application have the usual ""look and feel"" for the platform it is on?",Yes,Yes,Yes,Yes,Unclear,"Yes, Matlab","Yes, Matlab","Yes, command line",Yes,Yes,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,"Yes, command line",Unclear,Unclear,Unclear,"Yes, command line",Yes,Yes,"Yes,command line","Yes,command line",Unclear,Unclear
5,When interacting with the software were there any instances of lack of visibility (as defined by Norman's principle)?,Yes,Yes,Yes,Yes,Unclear,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Yes,No,No,Yes,Yes,Unclear,Unclear
6,"Are expected user characteristics documented (education, background)?",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7,What is the user support model? FAQ? User forum? E-mail address to direct questions? Etc.,"Email, github",Email,"Email,git",Email,Email,Email,Email,"Email, forum","Email, FAQ, Google code",Email,Email,No,"Email, tech support",Email,"FAQ,Email,User meeting, forum","Email,Googlecode","Email,git","Email,git",Email,Email,"FAQ,Email","User Meeting, Email","Forum, Email, FAQ",Email,"Email,forum","Forum, Email","SourceForge, Email",Email,"Email, forum","Email, forum"
,Overall impression (/10):,8,6,7,7,6,7,7,6,7,7,6,7,7,7,7,7,7,7,4,7,4,7,7,4,9,8,7,6,6,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintainability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Is there a history of multiple versions of the software?,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No
2,"Is there any information given on how code is reviewed, or how to contribute?",Yes,No,No,No,No,No,No,No,No,No,No,"Yes, contribute",No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No
3,Is there a change log?,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,"No, only have changes since last release",Yes,No,No,No,"Yes, but poorly organzied, only have one line",Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
4,What is the most common type of maintenance? Corrective/Adaptive or Perfective?,Corrective and Perfective,Perfective,Unclear,Unclear,Unclear,Corrective and Perfective,Perfective,Corrective and Perfective,Perfective,Unclear,Corrective and Perfective,Corrective and Perfective,Unclear,Unclear,Corrective and Perfective,No,Unclear,Unclear,Unclear,Corrective and Perfective,Unclear,Corrective and Perfective,Corrective and Perfective,Corrective and Perfective,Corrective and Perfective,Corrective and Perfective,Unclear,Corrective and Perfective,Unclear,Unclear
5,What issue tracking tool is employed?,Github,Unclear,git,Unclear,Unclear,Unclear,Unclear,Unclear,Google code,Unclear,Unclear,Unclear,"Unclear, but some bugs are wrote down in text file",Unclear,Trac,Google code,"YouTrack,git",git,Unclear,Unclear,Trac,Unclear,Trac,Unclear,CodePlex,Unclear,Sourceforge,Unclear,Google Code,Unclear
6,Are the majority of identified bugs fixed?,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,No,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,No,Unclear,Unclear,"Unclear, do not have an account",Unclear,Yes,Unclear,Unclear,Unclear,No,Unclear,Unclear,Unclear
7,"Which concurrent versioning system is in use (git, svn, mercurial, none, etc.)",Github,Unclear,git,Unclear,Svn,Unclear,Unclear,Unclear,SVN,Unclear,Unclear,Unclear,SVN,Unclear,SVN,Google code,git,git,Unclear,CVS,Unclear,SVN,SVN,Unclear,svn,Unclear,"SVN,CVS",Unclear,Google Code,Unclear
8,Is there convincing evidence that maintainability was considered in the design?,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Unclear,No,Yes,Yes,Yes
9,Are there code clones? (worth investigating where feasible),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unclear,No,No,No,No
,Overall impression (/10):,10,6,6,3,3,6,5,6,7,3,3,6,6,6,10,6,8,7,5,8,7,8,9,6,9,4,4,6,8,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reusability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
