,Released:,At least 2010,1997,2010,2010,7-19-2004,2003,2000? Date not shown,2009,Not shown,1997,Not shown,1995,Not shown,2000,Not shown,2004,1996,2011,2009,2003,2011,2010,at least 2003,2007,2003?,2007,Jul-09,before 2010,2003,2010,,
,Updated:,2011,2012-03-14,Dec-13,12-Mar-14,03-06-2014,Mar-13,Jun-09,Feb-14,Jul-05,Not shown,Not shown,Feb-14,Jul-05,Now shown,Oct-11,Apr-14,Apr-14,Apr-14,May-14,Oct-13,Mar-14,Dec-12,Aug-13,Apr-14,Apr-14,Jan-13,Sep-13,Mar-14,Feb-14,Apr-14,,
,Status (alive (changes within past 18 months) dead (last changes older than 18 months)):,Dead,Alive,Alive,Alive,Alive,Alive,Dead,Alive,Dead,Unclear,Unclear,Alive,Alive,Dead,Dead,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Dead,Dead,Alive,Alive,Alive,,
,License:,None?,GNU GPL,GPL,GPL,GPL,LGPL,GNU Free Documentation License,GNU GPL,"Terms of Use ""As long as the authors name goes along""",Creative Commons Attribution-ShareAlike License,Written EULA,None?,GPL,Creative Commons Attribution Non-Commercial License v3,Terms of use,GPL,LGPL,GPL,MIT,CC BY-SA license,MIT,GPL,BSD,BSD,GPL,MIT,MIT,GPL,GPL,BSD,,
,Platforms:,WIN OSX,WIN LIN OSX,WIN LIN,WIN LIN OSX ANDROID,WIN LIN,WIN LIN OSX,WIN,WIN (desktop) & WIN LIN OSX R (cli),WIN,WIN ANDROID,WIN,WIN,WIN LIN OSX,WIN LIN OSX,JAVA,WIN LIN OSX,WIN LIN OSX,WIN,WIN LIN OSX,LIN OSX,WIN LIN OSX,WIN LIN OSX,WIN LIN OSX,WIN LIN OSX,WIN LIN OSX,WIN LIN OSX,WIN LIN OSX,WIN LIN OSX,WIN LIN OSX,WIN LIN OSX,,
,"Category (concept, private (group) or public consumption):",Public,Public,Public,Public,Public,Public,Public,Public,Public,Public,Public,Public,Public,Public,Private (educational and research),Public,Public,Public,Public,Public,Public,Public,Public,Public,Public,Concept - called beta in setup,Public,Public,Public,Public,,
,Dev. Model:,Freeware,Open Source,Open source,Open Source,Open Source,Open Source,Freeware,Open source,Freeware,Freeware,Freeware,Freeware,Open source,Freeware,Freeware,Released as freeware/Open source dev,Open source,Freeware,Open source,Open source,Open source,Open Source,Open source,Open source,Open source,Open source,Open source,Freeware,Open source,Open source,,
,Publications using the software:,None,"Yes, http://scholar.google.ca/scholar?hl=en&q=grass+gis&btnG=&as_sdt=1%2C5&as_sdtp=",http://scholar.google.ca/scholar?hl=en&q=gvsig&btnG=&as_sdt=1%2C5&as_sdtp=,Couple ciatations http://scholar.google.ca/scholar?hl=en&q=QGIS&btnG=&as_sdt=1%2C5&as_sdtp=,Yes References(http://www.saga-gis.org/en/index.html),Not really,been cited http://scholar.google.ca/scholar?hl=en&q=biomapper&btnG=&as_sdt=1%2C5&as_sdtp=,http://www.conefor.org/empirical.html,http://scholar.google.ca/scholar?hl=en&q=crop_VGT&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=cybertracker&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=desktopgarp&btnG=&as_sdt=1%2C5&as_sdtp=,http://www.umass.edu/landeco/pubs/pubs.html,http://scholar.google.ca/scholar?hl=en&q=gvsig&btnG=&as_sdt=1%2C5&as_sdtp=,http://www.uq.edu.au/marxan/index.html?page=77066&p=1.1.6,http://scholar.google.ca/scholar?hl=en&q=maxent&btnG=&as_sdt=1%2C5&as_sdtp=,http://openmodeller.sourceforge.net/publications.html,Lots of projects http://trac.osgeo.org/ossim/wiki/history,http://cbig.it.helsinki.fi/publications/,Not explicitly using python lib,http://gnudatalanguage.sourceforge.net/resources.php,None,http://www.jstatsoft.org/v43/i04/paper?origin=publication_detail,http://scholar.google.ca/scholar?hl=en&q=networkx&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=numpy&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=postgis&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=pyproj&btnG=&as_sdt=1%2C5&as_sdtp=,In Links section,http://scholar.google.ca/scholar?hl=en&q=raster+r+package&btnG=&as_sdt=1%2C5&as_sdtp=,Not clear,http://scholar.google.ca/scholar?q=shapely+python&btnG=&hl=en&as_sdt=0%2C5,,
,"Publications about the software: (design, publishing avenue)",None,Textbook and Tutorial publications at http://grasswiki.osgeo.org/wiki/GRASS_Help#First_Day_Documentation,http://scholar.google.ca/scholar?hl=en&q=gvsig&btnG=&as_sdt=1%2C5&as_sdtp=,Not really,Not really,Not really,been cited http://scholar.google.ca/scholar?hl=en&q=biomapper&btnG=&as_sdt=1%2C5&as_sdtp=,http://www.conefor.org/publications.html,http://scholar.google.ca/scholar?hl=en&q=crop_VGT&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=cybertracker&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=desktopgarp&btnG=&as_sdt=1%2C5&as_sdtp=,http://www.umass.edu/landeco/pubs/pubs.html,http://scholar.google.ca/scholar?hl=en&q=gvsig&btnG=&as_sdt=1%2C5&as_sdtp=,http://www.uq.edu.au/marxan/index.html?page=77066&p=1.1.6,http://scholar.google.ca/scholar?hl=en&q=maxent&btnG=&as_sdt=1%2C5&as_sdtp=,http://openmodeller.sourceforge.net/publications.html,http://scholar.google.ca/scholar?hl=en&q=ossim&btnG=&as_sdt=1%2C5&as_sdtp=,http://cbig.it.helsinki.fi/publications/,Not explicitly using python lib,http://gnudatalanguage.sourceforge.net/resources.php,None,http://scholar.google.ca/scholar?hl=en&q=r+package+landsat&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=networkx&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=numpy&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=postgis&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=pyproj&btnG=&as_sdt=1%2C5&as_sdtp=,In Links section,http://scholar.google.ca/scholar?hl=en&q=raster+r+package&btnG=&as_sdt=1%2C5&as_sdtp=,Not clear,http://scholar.google.ca/scholar?q=shapely+python&btnG=&hl=en&as_sdt=0%2C5,,
,Is source code available:,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,19,
,Programming language(s):,Java,C (Makefile),Java,"C++, Python",C++,Java,Borland Delphi,C++,Not sure,C++ & Java (Android),C++,C++,Python,C++,Java,C++,C++,C++?,C++,C++,Python,R,Python,C & Python,C,Cython,Python,C,C/C++/R,Python,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Getting to Know the Software Package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Create a virtual machine. Make shell script to provision box.,"VirtualBox 4.2.12, Windows 7","Vagrant 1.4.0, VirtualBox 4.2.12, Lubuntu 12.04 LTS","VirtualBox 4.2.12, Windows 7","VirtualBox 4.2.12, Windows 7","VirtualBox 4.2.12, Windows XP SP3",Mac OS X 10.9.2,"VirtualBox 4.2.12, Windows 7","VirtualBox 4.2.12, Windows 7","VirtualBox 4.2.12, Windows 7","VirtualBox 4.2.12, Windows 7","VirtualBox 4.2.12, Windows 7","VirtualBox 4.2.12, Windows 7","Vagrant 1.5.1, VirtualBox 4.2.12, Ubuntu 14.04","VirtualBox 4.2.12, Windows 7","VirtualBox 4.2.12, Windows 7","VirtualBox 4.2.12, Windows 7","VirtualBox 4.2.12, Windows 7","VirtualBox 4.2.12, Windows 7","VirtualBox 4.2.12, Windows 7","VirtualBox 4.2.12, Windows 7",Mac OS X 10.9.2 & python 2.7.3,Mac OS X 10.9.2 & R 3.0.4,Mac OS X 10.9.2 & python 2.7.3,Mac OS X 10.9.2 & python 2.7.3,"VirtualBox 4.2.12, Windows 7",Mac OS X 10.9.2 & python 2.7.3,Mac OS X 10.9.2 & python 2.7.3,Mac OS X 10.9.2 & R 3.0.3,Mac OS X 10.9.2 & R 3.0.3,Mac OS X 10.9.2 & python 2.7.3,,
,,,,,,,,,,,,,,,,,,,,Vagrantfile already made!,,,,,,,,,,,,,
,SOFTWARE ENGINEERING QUALITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Installability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Install the software on the virtual machine, record all steps and answers the following questions:",, ,,,,,,,,,,,,,,,,,,,sudo easy_install pip,,,,,,,,,,,
1,Are there installation instructions?,For OSX use Winebottler (10 steps & not a good way to support OS X),"Yes, for every platform.",Yes,Yes,Yes,"Yes, for every platform",No,"No, just download this zip and here are the contents. EMAIL US for the command line version",Yes,Yes,Yes,"Yes, in a paragraph, not steps",No,No,Yes,"Yes, basic",Not a direct link to binaries. Must go through ftp tree & choose which one to d/l,No,Yes,"Yes, in package",Yes,No,Yes,Yes,Yes,"Yes, hard to find",Yes,No,No,Yes,,
2,Are the installation instructions linear? (Vnode was not linear.),Yes,Yes,Yes,"No, depends on GDAL framework on MAC OS X to be installed first",Yes,Yes,N/A,N/A,Yes,Yes,Yes,"Yes, but steps should be in a numbered list",N/A,N/A,No,Yes,Yes,N/A,No,Yes,Yes,N/A,Yes,Yes,"No, need PostgreSQL",Yes,Yes,N/A,"Yes, but source installation requires a lot of dependencies","No. Need to install libgeos first, and no instructions to do so",,
3,"Is there something in place to automate the installation (makefile, script, installer, etc.)?","Yes, Installer","Yes, Makefile for source. Installers, Packages etc.","Yes, Executables","Yes, packages","Yes, shell script & binary packages (from other sources)",Yes,"Yes, Executables",N/A .exe,"N/A, .exe","Yes, Installer",Installer,"Yes, Installer","Yes, setup.py","Yes, Installer",.bat on Windows to launch,"Yes, .pkg, .exe","Yes, Installers for all platforms",N/A .exe,"Yes, easy_install, setup.py",./configure script,"Yes, pip","Yes, install.packages(""landsat"")","Yes, pip","Yes, setup.py, and binaries","Yes, Binaries or source installation","Yes, setup.py file and exe on windows","Yes, pip, easy_install","Yes, install.packages(""raster"")","Yes, install.packages","Yes, pip",,
4,"Is there a means given to validate the installation, such as a standard suite of test cases?",No,"Yes, http://trac.osgeo.org/grass/wiki/HowToTestGrass6",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Yes, you can run tests. Specified you can do so after installing.","Yes, make check",No,No,No,No,No,,
5,How many steps were involved in the installation?,"1 WIN, OSX (use winebottler)",1,1 (lots of navigating website before downloading),2,1,1,"2. Unzip, run individual tools",2,2,1,2,1,2,"Fill out a form, download",1,1,1,1,1,4,1,1,1,3,1,"2, build and install",1,1,1,1,,
6,How many software packages (libraries) need to be installed?,0,"2 (PROJ4, GDAL) (60+ more optional)",0,"1 for MAC, 0 WIN LIN ANDROID",1,0,0,0,0,0,0,0,0. Web services rely on lots (below),0,0,0,0 for binaries. 12 for development version,0,"2 libgdal, numpy","0. Compiled ""out of the box""",0,"2 sp, rgdal",0,0,1,0,0,1 sp,1 sp,1 libgeos_c,,
7,"Run uninstall, if available.  Were any obvious problems caused?",No uninstall available,No problems. make uninstall,No problems,No uninstall available,No uninstall available,No problems. Remove from applications & remove udig-workspace/ from home directory,No uninstall available,No uninstall available. just an exe program,"No problems, delete folder",No uninstall available,No uninstall available,No problems,No uninstall available,No uninstall available,"No problems, Delete jar",No problems,No problems,No problems,No uninstall availabl,No uninstall available,No problems. pip uninstall,No problems install.packages REMOVE,No problems. pip uninstall,No uninstall available. Many directories creates,No problems,No uninstall available,No problems. pip uninstall,No problems install.packages REMOVE,No problems install.packages REMOVE,No problems. pip uninstall,,
,Overall impression (/10):,5,9,9,6,6,7,4,5,8,4,6,5,4,4,5,6,6,5,7,6,9,7,9,8,8,7,9,7,7,5,,6.433333333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Correctness and Verifiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Are standard libraries (in which the community has confidence) used?,No,"Yes, for source installation 70. http://grasswiki.osgeo.org/wiki/Compile_and_Install_Ubuntu#Dependencies",No,GDAL framework on OS X,"Yes, wxWidgets","Yes, the Eclipse Rich Client technology",No,No,No,Android SDK,Microsoft XML Parser,"ERSI ArcGIS, ArcInfo are used in tutorial","Yes, for the web servies. PostgreSQL, PostGIS, GIS plugins. Implements openModeller",No,No,"Yes, GBIF, specisLink, WCS",No,No,"Yes, numpy","Yes, 12+ optional ones http://gnudatalanguage.sourceforge.net/requirements.php",No,"Yes, sp, rgdal","Yes, Optional packages to extend functionality (NumPy, SciPy, GraphViz)","Yes, SciPy stack","Yes, PostgreSQL, cunit for unit testing in C",No,No. PURE python!,"Yes, sp","Yes, sp","Yes, libgeos_c (https://github.com/libgeos/libgeos)",18,
2,Any reference to the requirements specifications of the program? (How do you judge correctness without a spec?),No,"Yes, http://grasswiki.osgeo.org/wiki/Software_requirements_specification",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Yes, ""Compatible with IDL, and to some extent PV-Wave""",No,No,No,No,No,No,"Yes, ESRI shapefile specification",No,No,No,,
3,"What evidence is presented to build confidence (literate programming, automated testing, symbolic execution, model checking,assertions used in the code …)?  Please list",None,Programmers guide http://grass.osgeo.org/development/programmer-manual/,No,Developers section,Doxygen,Developers guide,None,No,None,No,No,None,pydoc,None,None,None,"Doxygen, test suite",None,"Doxygen, tests",Doxygen,None,Extensive documentation,None,None,Doxygen,Wrapper to PROJ.4 library,"Yes, specification is posted, tests",None,None,None,,
4,"If there is a standard example given, does the output match the expected output?",Yes,"Yes, standard examples, tutorial",Yes,N/A,N/A,Yes,N/A - didn't test,N/A,N/A,Yes,Yes,Yes,Yes,N/A,Yes,Yes http://openmodeller.sourceforge.net/om_desktop.html,Yes,Yes,N/A,N/A,No,No,Yes,Yes,Yes,N/A,Yes,Yes,N/A,Yes,,
,Overall impression (/10):,6,10,6,7,7,8,5,4,4,5,5,5,7,5,5,6,8,5,7,8,5,7,5,8,8,7,9,8,8,7,,6.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Surface) Reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Did the software ""break"" during installation?  If yes, please provide some brief details.",No,No,No,No,No,No,No,No,No,No,No,No,"Yes, no install command given..",No,No,No,Installed wrong one at first.,No,No,No,No,No,No,No,No,No,No,No,No,No,,
2,"Did the software ""break"" during the intial tutorial testing?  If yes, please provide some brief details.",No,No,No,No,No,No,N/A - didn't test,No,No,No,No,No,No,No,No,No,No,No,N/A,N/A,Python segfault during example,No,No,No,No,Yes,No,No,N/A,No,,
,Overall impression (/10):,10,10,10,10,10,10,5,10,10,10,10,10,6,10,10,10,6,10,6,6,5,10,10,10,10,6,10,10,5,5,,8.666666667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Surface) Robustness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Does the software handle garbage (as opposed to bad or malicious) input reasonably?  (a reasonable response can include an appropriate error message),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, bad extension loaded",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
2,"Can the software gracefully handle a change of the format of text input files where the end of line follows a different convention?  For instance, if all new lines are replaced with new lines and carriage returns, will the software handle this gracefully?",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes (in scripts),Yes (in scripts),Yes (in scripts),Yes (in scripts),Yes (in scripts),Yes (in scripts),N/A,Yes (in scripts),Yes (in scripts),Yes (in scripts),Yes (in scripts),Yes (in scripts),,
,Overall impression (/10):,7,9,7,8,7,8,5,6,4,6,6,7,7,5,6,7,7,6,7,7,8,6,7,7,9,7,7,5,5,8,,6.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Surface) Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Evidence that performance was considered? (for instance does the makefile (or other source) show evidence of a profiler),No,"Yes, http://grasswiki.osgeo.org/wiki/GRASS_GIS_Performance",No,Yes (in issues http://hub.qgis.org/projects/quantum-gis/wiki/Rendering_Performance & users seem happy http://gis.stackexchange.com/questions/20403/why-is-the-performance-speed-between-arcgis-and-qgis-so-different),No,No,No,No,No,No,No,"No, seems like there is a memory problem (http://www.umass.edu/landeco/research/fragstats/faq/fragstats_faq.html)","No, but they have confidence in their web services. Good technologies",No,No,Yes http://wiki.eubrazilopenbio.eu/index.php/Performance_Profiling_of_openModeller,No,No,"No, may be an issue with ""ReadAsArray""",No,No,No,No,"No, placeholder for Improving Performance documentation in user manual. (Meaning in scripts)",Largely based on user input. Performance tips section in documentation,No,No,No,No,"No, but developers have confidence in libgeos",,
,Overall impression (/10):,5,10,5,9,5,5,5,5,5,5,5,3,8,5,5,8,5,5,4,5,5,5,5,6,7,5,5,5,5,5,,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Surface) Usability,,,,,,,WIKI IS BARELY POPULATED,,,"ANDROID install, usage not documented",,,,,,,,,,,,,,,,,,,,,,
,"Use the program to do something simple, record all steps and answer the following questions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Is there a getting started tutorial?,Yes,Yes,Yes,No,No,Yes http://udig.github.io/docs/user/getting_started/Quickstart.html,No,No,No,"Yes, videos too",Yes,Yes,No,No,Yes,"No, Not current on website",Yes,"No, Not explicit. Tutorial materials on download page","No, External tutorials",No,"Yes, simple examples",No,Yes,Yes,Yes,No,Yes,Yes,No,"No, many small examples",,
2,Is there a standard example that is explained?,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes http://www.cybertracker.org/downloads/software/CyberTracker-Step-by-Step-Tutorial-1.pdf,Yes,"Yes, analyzing grids",No,No,No,"No, Not current on website",Yes,Yes,"No, Not on site",No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,"Yes, Many small ones",,
3,Is there a user manual?,Yes,Yes,Yes,Yes,"Yes, monolithic in References section",Yes,"No, ""Modulus Operandi"" wall of text","Yes, some tutorial information, but no steps and just wall of text",No,Yes,Yes,"Yes, in a pdf",Yes,"Yes, monolithic ones written by others http://www.uq.edu.au/marxan/index.html?page=77823&p=1.1.4.2","Yes, Word doc",Yes,"Yes, pdf",Yes,"Yes, automatically generated","Yes, functions documented","Yes, docs",Yes,Yes,Yes,Yes,"Yes, function documentation",Yes,Yes,Yes,Yes,,
4,"Does the application have the usual ""look and feel"" for the platform it is on?",Yes,Yes (Linux). Not sure about OS X,Yes,Yes,Yes,"Yes, Eclipse",No,Yes,Yes,"Yes on Windows, No on Android",Yes,Yes,"Yes, python, web",Yes,Yes (Java),Yes,"No, fonts are different, menus not organized normally",Yes,Yes,Yes,"Yes, python","Yes, R",Yes,Yes,Yes,Yes,Yes,"Yes, R",Yes,"Yes, python",,
5,When interacting with the software were there any instances of lack of visibility (as defined by Norman's principle)?,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"Yes, there is no organization in settings screen or main window",No,Yes,No,No,No,"No, read docs.",No,No,No,No,No,No,"Yes, initially",No,No,,
6,"Are expected user characteristics documented (education, background)?",No,No,No,No,No,No,No,"Yes, Must be advanced to use the command line tools",No,"No, but give guidelines on commercial vs research use",No,No,No,No,"Yes, Education or research",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,
7,What is the user support model? FAQ? User forum? E-mail address to direct questions? Etc.,"Mailing list, email","Mailing Lists, forum","Bug tracker, mailing list","Mailing Lists, Forum, StackExchange, chat","Mailing list, forum","Mailing list, Issue tracker, IRC","Discussion list, wiki",Email list,".hlp file, email","Facebook/Yahoo group, email",Discussion list,"FAQ, email",None,"Mailing List, email",Discussion group,"IRC, email","IRC, Mailing list, Issue tracker","Issue tracker, forums, wiki, ",Mailing list,"Docs, readme, forums",Github Issues,Email,"Issue tracker, mailing list","GitHub, Mailing List","IRC, Mailing list, ticket tracker, commercial support, Stack Exchange",Issue tracker,"Issue tracker, email, commercial support",None. But you can find the developers email,"None explicit, email?",Github,,
,Overall impression (/10):,8,9,8,8,5,9,5,3,4,7,8,6,4,4,4,4,6,6,7,6,7,4,7,9,9,6,8,3,3,8,,6.166666667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintainability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Is there a history of multiple versions of the software?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, not public","Yes, not public","Yes, not public (downloads not available)","Yes, not public",Yes,"Yes, not public",No,Yes,Yes,Yes,"Yes, not public",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
2,"Is there any information given on how code is reviewed, or how to contribute?",N/A,Yes (Programmers Manual),Developers Guide,"Yes, development setup guide and governance http://www.qgis.org/en/site/getinvolved/development/index.html",Yes (http://sourceforge.net/apps/trac/saga-gis/wiki/SAGA%20Source%20Code%20Contribution),Developers guide (Github pull requests & commit access),N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,No,"Yes, ""How to contribute?""",No,No,Developer's guide,No,Developers guide,No,"No (4 owners, 1 committer)",N/A,No,No,,
3,Is there a changelog?,Yes,Yes,No,Yes,Yes,Yes (on release pages),"Yes, a bit in ""news"" and/or ""downloads"" section",No,Yes,"Yes, from 2005 and on",No,Yes,No,No,Yes (not complete history),Yes,Yes http://trac.osgeo.org/ossim/wiki/OSSIMVERSIONHistory,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,
4,What is the most common type of maintenance? Corrective/Adaptive or Perfective?,N/A,Corrective,Need an account to view issue tracker,Corrective,Corrective,Corrective,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Corrective,Corrective,Corrective,Corrective,Corrective,Adaptive,N/A,Corrective & Perfective (Feature requests),Corrective,Corrective,Corrective / Support,Corrective,N/A,N/A,Corrective,,
5,What issue tracking tool is employed?,Email,Trac,Need an account to view issue tracker,Redmine,Trac,JIRA,Email/discussion as support,N/A,N/A,N/A,N/A,Email,N/A,Email as support,N/A,Sourceforge,Trac ticket system,Redmine,Trac,Sourceforge,GitHub issues,N/A,GitHub,GitHub,Trac,Google Code,Google Code,N/A,N/A,GitHub issues,14,
