,Number of downloads for current version:,positive integer,Not shown,Not shown,Not shown,3 (this week - from SF),Not shown,Not shown,Not shown,Not shown,Not shown,109 (this week - from SF),Not shown,Not shown,"6,797 (this week - from SF)",Not shown,Not shown,0 (this week - from SF),761 (pamgen is included with Trilinos pack),Not shown,Not shown,Not shown,Not shown,1 (this week - from SF),Not shown,Not shown,4 (this week - from SF),Unclear,Unclear,,,,,,,Not shown
,Released:,date,1996,Jun-97,1996,at least 2007,05-Jun,Not shown. 2012?,Not shown ,1991,1997,08-Nov-08,01-Sep-02,Not shown,2005,2010,2015,Not shown,At least 2005,1995,1999,11-Aug,2005?,1990,1996,Unclear,Not shown,1982?,1992,,,,,,,2011
,Updated:,data,2014-03-01,2014-04-04,2013-12-01,2013-04-26,2012-03-11,2014-03-10,Not shown,2012-09-01,2014-02-07,2013-07-16,2013-10-09,2014-05-29,2014-04-03,2014-05-09,2015-04-29,2014-03-01,2014-04-29,2012-02-18,2014-01-14,2014-02-17,2013-11-04,2013,2012-02-06,2013-05-23,2014-04-23,2014 ('2015' product),2013,,,,,,,2013-11-02
,Status (alive (changes within past 18 months) dead (last changes older than 18 months)):,"alive, dead, unclear",Alive. No further development will be done,Alive,Alive,Alive,Dead,Alive,Alive?,Alive,Alive,Dead,Dead,Alive,Alive,Alive,Alive,Alive,Alive,Dead,Dead,Alive,Dead,Dead,Dead,Alive,Alive,Alive,Dead,,,,,,,Dead
,License:,"GPL, LGPL, Terms of use, GNU GPL, GPL-2, GPL-3CC BY-SA license, AGPL (>= 3) + file LICENSE, MIT, BSD, ""as long as the authors name goes along,"" Trial, Freeware, Copyrighted, Opensource, None, Unclear",GPL,Open source (LGPL) /Commercial dual license,All rights reserved,GPL,GNU GPL,GPL,None?,Owned by Zhou Computing Services Inc.,GPL (at least v2),GPL,Written EULA,BSD,GPL,GNU GPL,3-Clause BSD,BSD,LGPL,Free to copy with restrictions http://www.qhull.org/COPYING.txt,All rights reserved - in the code,GPL,GNU Affero public license,GPL,Terms of use,None?,MIT (X11),Commercial license,Commercial license,,,,,,,LGPL v3
,Platforms:,"power set of {Windows, Linux, Mac OS X, Android}",WIN UNIX,WIN LIN OSX,LIN OSX,WIN LIN,WIN LIN OSX,WIN LIN,WIN,WIN LIN,WIN LIN OSX,WIN LIN OSX,WIN (cygwin) LIN OSX,WIN LIN OSX,WIN LIN OSX IOS ANDROID,UNIX,WIN LIN OSX,LIN OSX,UNIX,WIN UNIX,WIN LIN OSX,LIN,WIN LIN OSX,WIN UNIX,WIN,WIN LIN OSX,WIN UNIX,WIN,WIN,,,,,,,WIN LIN OSX
,"Category (concept, private (group) or public consumption):","concept, private or public",Public,Public & Commercial,Private,Public,Public,Public,Public & Research,Public & Research,Public,Public,Public,Public,Public & Research (student code),Public,Public,Public software. Developed for research purposes.,Public,Research (software has an abstract.),Public,Public,Public,Public,Public,Research (Download form has University field),Public,Public,Public,,,,,,,Public
,Dev. Model:,"Open source, Freeware?, Commercial",Open source,Open source,Open source,Open source,Open source,Open source,Freeware,Freeware & legacy open source code,Open source,Open source,Open source,Open source,Open source,Open source,Open source,Open source,Open source,Open source,Open source,Open source,Open source,Open source,Freeware & free until 200 cells. P/W required to exceed 200. Email w/ survey answers to obtain password for free two month license.,Freeware?,Open source,Commercial,Commercial,,,,,,,Open source
,Publications using the software:,"None, or list of references, url as appropriate",http://scholar.google.ca/scholar?hl=en&q=admesh&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=cgal&btnG=&as_sdt=1%2C5&as_sdtp=,Not?,Not?,http://scholar.google.ca/scholar?hl=en&q=distmesh&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=engrid&btnG=&as_sdt=1%2C5&as_sdtp=,None,http://members.shaw.ca/bjoe/papers.htm,http://scholar.google.ca/scholar?hl=en&q=gmsh&btnG=&as_sdt=1%2C5&as_sdtp=,http://iso2mesh.sourceforge.net/cgi-bin/index.cgi?Publication_LIST,None?,None,http://scholar.google.ca/scholar?hl=en&q=meshlab&btnG=&as_sdt=1%2C5&as_sdtp=,None,None?,http://scholar.google.ca/scholar?hl=en&q=overture+framework&btnG=&as_sdt=1%2C5&as_sdtp=,cited http://scholar.google.ca/scholar?hl=en&q=pamgen&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=qhull&btnG=&as_sdt=1%2C5&as_sdtp=,None,http://scholar.google.ca/scholar?hl=en&q=openfoam&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=tetgen&btnG=&as_sdt=1%2C5&as_sdtp=,Not?,None,spanish http://lya.fciencias.unam.mx/unamalla/article_i.html,http://scholar.google.ca/scholar?hl=en&q=viennagrid&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=autodesk+simulation&btnG=&as_sdt=1%2C5&as_sdtp=,None,,,,,,,http://scholar.google.ca/scholar?hl=en&q=openvolumemesh&btnG=&as_sdt=1%2C5&as_sdtp=
,"Publications about the software: (design, publishing avenue)","None, or list of references, url as appropriate",http://scholar.google.ca/scholar?hl=en&q=admesh&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=cgal&btnG=&as_sdt=1%2C5&as_sdtp=,Not?,Not?,http://scholar.google.ca/scholar?hl=en&q=distmesh&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=engrid&btnG=&as_sdt=1%2C5&as_sdtp=,None,http://members.shaw.ca/bjoe/techrep.htm,http://scholar.google.ca/scholar?hl=en&q=gmsh&btnG=&as_sdt=1%2C5&as_sdtp=,http://iso2mesh.sourceforge.net/cgi-bin/index.cgi?Publication_LIST,None?,None,http://scholar.google.ca/scholar?hl=en&q=meshlab&btnG=&as_sdt=1%2C5&as_sdtp=,None,http://www.openflipper.org/media/Material/moebius_2011_cas.pdf,http://scholar.google.ca/scholar?hl=en&q=overture+framework&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=pamgen&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=qhull&btnG=&as_sdt=1%2C5&as_sdtp=,None,http://scholar.google.ca/scholar?hl=en&q=openfoam&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=tetgen&btnG=&as_sdt=1%2C5&as_sdtp=,Not?,None,http://lya.fciencias.unam.mx/unamalla/article_i.html,http://scholar.google.ca/scholar?hl=en&q=viennagrid&btnG=&as_sdt=1%2C5&as_sdtp=,http://scholar.google.ca/scholar?hl=en&q=autodesk+simulation&btnG=&as_sdt=1%2C5&as_sdtp=,None,,,,,,,http://scholar.google.ca/scholar?hl=en&q=openvolumemesh&btnG=&as_sdt=1%2C5&as_sdtp=
,Is source code available:,"Yes, No",Yes,Yes,Yes,Yes,Yes,Yes,No,"Yes, old code",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,,,,,,,Yes
,Programming language(s):,"R, C++, C, Java, Java (Android), FORTRAN, Python, Cython, PowerBASIC, Borland Delphi, unclear",C,C++,C++,Ruby,MATLAB,C++,N/A,"C++, Fortran",C++,MATLAB/Octave,"Fortran, C",C++,C++,C,C++,C++,C,"C, IDL",MATLAB,C++,C++,"Fortran, C, C++",C++,Unclear,C++,N/A,N/A,,,,,,,C++
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Getting to Know the Software Package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Create a virtual machine. Make shell script to provision box.,Details on virtual machine,"Vagrant 1.6.2, VirtualBox 4.3.4, Ubuntu 14.04 LTS","VirtualBox 4.3.4, Windows 7","Vagrant 1.6.2, VirtualBox 4.3.4, Ubuntu 12.04 LTS","VirtualBox 4.3.4, Windows 7","Vagrant 1.6.2, VirtualBox 4.3.4, Ubuntu 12.04 LTS","VirtualBox 4.3.4, Windows 7","VirtualBox 4.3.4, Windows 7","VirtualBox 4.3.4, Windows 7","VirtualBox 4.3.4, Windows 7","VirtualBox 4.3.4, Windows 7","Vagrant 1.6.0, VirtualBox 4.3.4, Ubuntu 12.04 LTS","Vagrant 1.6.0, VirtualBox 4.3.4, Ubuntu 12.04 LTS","VirtualBox 4.3.4, Windows 7","Vagrant 1.6.0, VirtualBox 4.3.4, Ubuntu 12.04 LTS","Virtual Box 5.0.20, Linux Mint 17.3, 64 bit","Vagrant 1.6.0, VirtualBox 4.3.4, Ubuntu 12.04 LTS","Vagrant 1.6.0, VirtualBox 4.3.4, Ubuntu 12.04 LTS","Vagrant 1.6.0, VirtualBox 4.3.4, Ubuntu 12.04 LTS","VirtualBox 4.3.4, Windows 7","Vagrant 1.6.0, VirtualBox 4.3.4, Ubuntu 12.04 LTS","Vagrant 1.6.0, VirtualBox 4.3.4, Ubuntu 12.04 LTS","Vagrant 1.6.0, VirtualBox 4.3.4, Ubuntu 12.04 LTS","VirtualBox 4.3.4, Windows 7","Vagrant 1.6.0, VirtualBox 4.3.4, Ubuntu 12.04 LTS","Vagrant 1.6.0, VirtualBox 4.3.4, Ubuntu 12.04 LTS","VirtualBox 4.3.4, Windows 7","VirtualBox 4.3.4, Windows 7",,,,,,,"Vagrant 1.6.0, VirtualBox 4.3.4, Ubuntu 12.04 LTS"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SOFTWARE ENGINEERING QUALITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Parallel with MPI,,,,,,,,,,,,,,,,,
,Installability,,,,,,,,,,,,,,,,,,Instructions for Trilinos,,,,,,,,,,,,,,,,,
,"Install the software on the virtual machine, record all steps and answers the following questions:", ,,,,,,,,,,,,,,,,,Must register to download,,,,Fill in form to download,,,,,,,,,,,,,
1,Are there installation instructions?,"Yes, No (possibly including explanatory text)","Yes, in package",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, in general and for a VirtualBox VM",Yes,Yes,Yes,Yes,"Yes, in user manual",Yes,"No, just run .exe",Yes,"Yes, in package",Yes,Yes,,,,,,,Yes
2,Are the installation instructions linear? (Vnode was not linear.),"Yes, No, N/A, (possibly including explanatory text)",Yes,Yes,Yes,No,"No, in a sentence",Yes,Yes,N/A,Yes,Yes,Yes,Yes,"No, not for compiling instructions",Yes,No,"Yes, but very long",Yes,Yes,No,Yes,Yes,No,"No, stated in paragraph",Yes,Yes,Yes,Yes,,,,,,,Yes
3,"Is there something in place to automate the installation (makefile, script, installer, etc.)?","Yes, No (possibly including explanatory text)","Yes, makefile","Yes, Packages, Makefile","Makefile, scripts","Yes, scripts and binary release",No,"Yes, Makefile (LIN), Installer (WIN)","Yes, Installer (WIN)",No,"Yes, makefile, packages","No, just download scripts and use them in programs","Yes, script","Yes, scripts & make","Yes, makefile and packages","Yes, makefile","Yes, Cmake","No, not to set up dependencies",Cmake,"Makefile, .exe",No,"Yes, apt-get package manager","Yes, make, cmake","Makefile, contact for windows package. Not all files required for source installaiton are available. UNABLE to install software.","No, just run .exe","Yes, packages, dmg","Yes, cmake",Installer,Installer,,,,,,,"Yes, makefile"
4,"Is there a means given to validate the installation, such as a standard suite of test cases?","Yes, No (possibly including explanatory text)",No,No,No,No,No,No,No,No,No,No,No,"Yes, run example",No,No,No,"Yes, test at the end of installation",Examples,No,No,No,No,No,No,No,No,No,No,,,,,,,No
5,How many steps were involved in the installation?,integer (possibly including explanatory text),4 (source),18 large steps,4,4,2,13 (source),4,1,4 (source),2,2,4 (after dependencies),2 (package),7,20,"70+ steps LIN, Macports helps on OSX",6,3,3,4,5,4,1,3,6 (source),3,3,,,,,,,4
6,How many software packages (libraries) need to be installed?,integer,0,0 (package) 6 (essential & more [source]),"One of ACIS, CUBIT or Open.Cascade",1 (fxruby) + Openfoam for full features,0,"3 (VTK (viz. toolkit), Qt (UI)) & more",None,0,0,0 (requires matlab/octave),0,"6 (git, c++ compiler, Qhull, MATLAB, python, numpy)",0 (package) 7 (source),0,15,"6 (Open Motif, Mesa OpenGL, HDF, A++, P++, PETSc (optional))",0,0,0,12 (build-essential flex bison cmake zlib1g-dev qt4-dev-tools libqt4-dev gnuplot libreadline-dev libncurses-dev libxt-dev),1 (cmake),0,0,0,0,0,0,,,,,,,1 (cmake)
7,"Run uninstall, if available.  Were any obvious problems caused?","Yes, No, No Uninstall Option (possibly including explanatory text)",No uninstall available,No uninstall available,No uninstall available,No uninstall available,No uninstall available (delete files/binaries),No uninstall available,No uninstall available,No uninstall available,No uninstall available,No uninstall available. Just delete scripts,No uninstall available,No uninstall available,No problems (just delete app),No uninstall available,No uninstall,No uninstall available,No uninstall available,No problems,No uninstall available,"No uninstall provided, but apt-get remove",No uninstall available,No uninstall available,No problems (just delete .exe),No uninstallation available. Delete folder,No problems. (clean.sh),No problems,No uninstall available,,,,,,,No uninstall available
,Overall impression (/10):,,7,6,7,6,5,6,7,3,8,6,6,5,5,6,2,4,6,7,7,9,7,3,4,4,7,8,8,,6,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Correctness and Verifiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Are standard libraries (in which the community has confidence) used?,"Yes, No, Unclear (possibly including explanatory text identifying the libraries)",No,"Yes, GMP, OpenGL, Qt, etc","ACIS, Cubit or Open.cascade","Yes, OpenFOAM, Paraview, fxruby (GUI)",No,"VTK, Qt, Netgen (tetrahedral)",None,No,"Yes, FLTK, OpenGL, Netgen, TetGen",No,No,"MATLAB, Numpy matplotlib","Yes, VCG and others: http://sourceforge.net/apps/mediawiki/meshlab/index.php?title=Compiling",No,Yes,"Yes, 6 (Open Motif, Mesa OpenGL, HDF, A++, P++, PETSc (optional))","Yes, the entire Trilinos suite of software",None,None,No,cmake for cross platform compilation,No,No,No,No,.NET,No,,,,,,,No
2,Any reference to the requirements specifications of the program? (How do you judge correctness without a spec?),"Yes, No, Unclear (pointer to requirements spec for Yes answer)","Yes, in Master's Thesis for STL file format","Yes, in CGAL philosophy ""CGAL produces correct results, in spite of intermediate roundoff errors"", guarenteed correctness.",No,No,"Yes, in PhD thesis (documentation)",No,No,"Yes, file formats for regions and meshes specified & meshing operations","Yes, for MSH file formats (small fraction of program functionality)",No,"Yes, under ""What problems can be solved with Mefisto""",No,"Yes, based on VCG Library http://vcg.isti.cnr.it/~cignoni/newvcglib/html/","Yes, in user manual",No,No,No,"Yes, Quickhull algorithm",No,Yes in User Manual,"Yes, in user manual",No,No,No,No,No,No,,,,,,,No
3,"What evidence is presented to build confidence (literate programming, automated testing, symbolic execution, model checking,assertions used in the code Ä)?  Please list",List of evidence,None,"Exact computation paradigm, _the_ place that implements at large scale. In-code checks",None,Rdoc,None,Doxygen,None,Referenced research,Referenced research,Referenced research,None,Referenced research,None,None,"unit testing, doxygen","Doxygen, research",None,"Handles roundoff errors from floating point arithmetic. It computes volumes, surface areas, and approximations to the convex hull.",None,Doxygen,None,None,None,None,No,Advertised as accurate,No,,,,,,,Doxygen
4,"If there is a standard example given, does the output match the expected output?","Yes, No, N/A (possibly including explanatory text)",Yes,Yes,N/A,Yes,Yes,Simple Heat Exchanger Example had broken images. https://github.com/enGits/engrid/wiki/Simple-heat-exchanger Tutorials section under development.,N/A,N/A,Yes,Yes,Yes,Yes,"Yes, sample in package",Yes,No,N/A,N/A,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,N/A,Yes,,,,,,,Yes
,Overall impression (/10):,,6,10,6,7,6,6,4,7,7,6,8,7,8,8,6,9,7,8,8,8,9,4,5,5,6,6,5,,6.740740741,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Surface) Reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Did the software ""break"" during installation?  If yes, please provide some brief details.","Yes, No, Unclear (explanatory text for Yes answer)",No,No,No,No,No,No,"No. Worked fine, but Windows complained ""This program might not have been installed properly""",No,No,"Yes, needed to add /bin to path",No,No,No,No,Yes,Yes. Difficult to install,No,No,No,No,No,"Yes, no password for .exe, src installation failed many times","Yes, (WIN) Chrome detected malicious code during download. Downloaded on OSX. Can't run .exe",No,No,No,No,,,,,,,No
2,"Did the software ""break"" during the intial tutorial testing?  If yes, please provide some brief details.","Yes, No, N/A (explanatory text for Yes answer)",No,No,No,No,No,No,"Yes, crashed",No,N/A,No,No,No,No,No,Yes,N/A,No,No,No,No,No,N/A,No,N/A,N/A,N/A,No,,,,,,,No
,Overall impression (/10):,,10,10,5,10,10,7,3,8,10,10,10,10,10,10,6,4,10,10,10,10,10,5,1,5,5,10,10,,8.259259259,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Surface) Robustness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Does the software handle garbage (as opposed to bad or malicious) input reasonably?  (a reasonable response can include an appropriate error message),"Yes, No (possibly including explanatory text)",Yes,Yes,Yes,Yes,Admittedly not robust,Yes,No,Yes,Yes,Yes,Yes,"Yes, give feedback during make process",Yes,Yes,Yes,,Yes,Yes,Yes,Yes,"Yes, advertised as robust",,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes
2,"Can the software gracefully handle a change of the format of text input files where the end of line follows a different convention?  For instance, if all new lines are replaced with new lines and carriage returns, will the software handle this gracefully?","Yes, No, N/A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A
,Overall impression (/10):,,10,10,10,10,3,10,4,10,10,10,10,8,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,,9.333333333,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Surface) Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Evidence that performance was considered? (for instance does the makefile (or other source) show evidence of a profiler),"Yes, No, Unclear (explanatory text for Yes answer)",No,"Yes, user must use CGAL right. Ensuring correctness = high overhead",No,No,No,No,No,No ,No,No,None,"Advertised as ""with performance in mind"", but no supporting evidence",No,No,Yes,No,Parallel with MPI,Choice of language,No,"Yes, parallel implementation","Yes, advertised as fast",No,"Advertised as ""fast"", but no supporting evidence",No,No,Advertised as fast,No,,,,,,,No
,Overall impression (/10):,,5,8,5,5,5,5,5,5,5,5,5,6,5,5,8,5,9,6,5,9,7,5,6,5,5,6,5,,5.62962963,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Surface) Usability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Use the program to do something simple, record all steps and answer the following questions",,,,,,,,,,,,,,,,,,,,,,Advertised as easy to use,,,,,,,,,,,,,
1,Is there a getting started tutorial?,"Yes, No, Unclear (possibly including explanatory text)",No,Yes,No,"Yes, front area calculation",No,"Yes, but images are broken and section is under development",No,No,No,"Yes, but no sample file",No,Yes,No,No,No,"No, 5 external courses/demos",No,"Yes, external",Yes,Yes,Yes,No,"No, samples",Yes,No,Not for trial,"Yes, and videos",,,,,,,"Yes, 4 tutorials to get started"
2,Is there a standard example that is explained?,"Yes, No, Unclear (possibly including explanatory text)",No,Yes,No,"Yes, with screencasts","Yes, a few","Yes, see above",No,No,"Yes, many examples in appendix","Yes, many samples","A few, with sample data",Yes,"Yes, many examples in ""How To"" section",No,No,"Yes, in external examples","Yes, many","Yes, external",Yes,Yes,Yes,No,"No, samples",Yes,No. Just examples to build,No,Yes,,,,,,,Yes
3,Is there a user manual?,"Yes, No, Unclear (possibly including explanatory text)",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, spanish",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,,,,,,,Yes
4,"Does the application have the usual ""look and feel"" for the platform it is on?","Yes, No, Unclear (explanatory text for No answer)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes (X11),Yes,No,"No, odd usage workflow",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes
5,When interacting with the software were there any instances of lack of visibility (as defined by Norman's principle)?,"Yes, No, Unclear (explanatory text for No answer)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,No
6,"Are expected user characteristics documented (education, background)?","Yes, No, Unclear (possibly including explanatory text)",No,No,No,No,No,No,"Yes, specific directions for students in certain lab room","Yes, it is assumed that the reader is knowledgable about geometric terms and NURBS curves and surfaces.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,No
